n,k,PMI,fit0,fit1,fit2,fit3,fit4
2,1,tc,0.010343953117544383,0.005639812885851445,0.008263515683399612,0.01170892431746665,0.011905594094417897
2,2,tr,-1.8192328507743611,-2.0016192286138113,-1.6435983173275575,-1.5768841788034942,-1.8545033591403643
2,2,tc,0.09810166158158073,0.08817234516571935,0.06631412530573373,0.041989065796541346,0.06940549500432094
2,3,tr,-0.2241417478088302,-0.156878935041418,-0.11276796875781796,0.014546852328195402,-0.058915188498100096
2,3,tc,-0.5109323770368827,-0.5075807494315431,-0.39576668656169245,-0.3141657193538051,-0.45937914226818427
2,4,tr,0.03348413934727637,0.1452823016063637,-0.057537361224282935,-0.2549489062281001,0.16609003256775948
2,4,tc,0.6836198352959222,0.8201404139645828,0.6100975975147475,0.4955971818885747,0.6619313945465116
2,5,tr,1.413312074575328,1.156568739118577,1.1510838340296774,1.1411828848151897,1.0675819834248912
2,5,tc,0.9654799057854078,0.7579450258522997,0.6946483758277501,0.7288921505294997,1.1104320347302092
2,6,tr,-3.404825305758971,-3.8044281980999455,-2.817992127493699,-2.6023312169321438,-3.634623577690523
2,6,tc,-4.216050383456306,-4.414597546054434,-3.665413230182932,-3.4925700421106347,-4.677855472496267
2,7,tr,2.2503161188891325,3.090148868549881,1.976023962859491,1.7698656106062252,3.0619099437106327
2,7,tc,4.70586415621529,5.360741334791276,4.486204278462511,4.097211625773564,4.987619222011225
2,8,tr,1.9051847114845728,2.067532263847563,1.483684560160869,1.7293370800771004,1.528008050190127
2,8,tc,0.2827962541392423,0.03954484717574336,-0.13484512514451985,0.21206115801401365,0.7695806335378881
2,9,tr,-4.067655961511544,-5.1521396700301425,-3.357280660037459,-3.6731112908294623,-4.63082909381077
2,9,tc,-5.916599541341431,-6.676251802714267,-5.29118287781948,-5.331928537736292,-6.6564964334864145
2,10,tr,3.3629285813411665,4.14972760141395,2.9265055047557174,3.001785901079622,4.239468256216228
2,10,tc,6.30148555282285,7.42956059370247,5.917900697525015,5.781505723296171,6.572975575829994
2,11,tr,-2.364480680357173,-2.7247537022354384,-2.263323449145123,-2.0748775836337314,-2.774807074222129
2,11,tc,-2.9389024342857577,-3.5747227330874827,-2.809744421942236,-2.7344657539248804,-2.8943330746919878
2,12,tr,1.3042684202240764,1.5189851354429846,1.3025712986135103,1.1647351902146885,1.3093497009267527
2,12,tc,0.5345947108278785,0.6696527389812268,0.5122869768417875,0.5040457509078196,0.5039094019379795
2,13,tr,-0.31429208728874514,-0.3847723212475769,-0.31156019453229056,-0.28885490939009295,-0.2869937916081906
3,1,tc,0.09123782726018581,0.12108080962311088,0.0943634235984071,0.05959838605236226,0.10364056990125148
3,2,tr,-14.058017842376033,-16.312113216203098,-12.426263933551375,-13.227055790931749,-14.202466102178098
3,2,tc,-0.1019891597531233,-0.21461236224614566,-0.15188942000965425,-0.16596199561471053,-0.10813978320983794
