a,k,PMI,fit0,fit1,fit2,fit3,fit4
4.0,5,tc,-12.291103254738731,-10.704518131231637,-10.776288867028477,-9.767115770105857,-13.011496473088997
4.0,6,tr,6.738175053488142,2.8999102764005724,5.968553932301965,3.1119069761497116,7.927798588138199
4.0,6,tc,22.45878719622113,16.766840934154175,18.971542325952555,17.31264583917381,18.628144245000016
4.0,7,tr,-4.772545271554016,1.5428696924157705,-4.306514771995616,-1.9563667813295282,-2.3895160134837283
4.0,7,tc,-10.140185145068514,-3.3398108904413135,-7.416240235066823,-5.715392502550614,-5.044128117590404
4.0,8,tr,-2.378939440555328,-6.226868649994259,-2.7306105226304567,-3.1375770248362613,-7.586173931568439
4.0,8,tc,-21.785706771142657,-23.001866763145273,-18.70348622419155,-20.932589378474518,-21.81956108558842
4.0,9,tr,16.147191959710312,14.550765942385233,13.611224004361574,14.105538258414178,17.731332804927888
4.0,9,tc,38.87946076411299,34.83308999100548,30.5315194134364,34.191659499596085,35.423832043158484
4.0,10,tr,-26.207926190111856,-21.949399241463396,-19.11843788148871,-22.133280758790104,-23.345114118952154
4.0,10,tc,-28.22251371168396,-24.937927281593062,-20.962566824652527,-24.620117611720815,-26.37593784529156
4.0,11,tr,20.322178750320226,17.544061307005894,13.294192697115598,17.19815916418535,18.282928803532826
4.0,11,tc,10.794812643680824,10.204588997992275,7.843971308999755,9.615775355897384,10.683220836851419
4.0,12,tr,-8.287445900836097,-7.789423441021285,-5.226151821767033,-7.234757559857002,-8.086077127854985
4.0,12,tc,-1.945732507141372,-2.1027860024938008,-1.4497713742563008,-1.7906113692979346,-2.0025357056558732
4.0,13,tr,1.6905475574771316,1.8859521765375575,1.1572621039993294,1.5498416205983574,1.7336556003664896
5.7,1,tc,-0.010080042288453939,-0.044148740909164985,0.005373050061152185,-0.0025942900033584237,-0.002912865042119961
5.7,2,tr,-9.233623361802593,-12.919655915285588,-5.559090610604926,-8.150417917633519,-7.799722281992402
5.7,2,tc,0.2533407337297362,0.21183728178201022,0.15818165475701562,0.09798309335536715,0.21607934251937877
5.7,3,tr,-0.3274814860510702,-0.1940311653897311,-0.11993048909355508,0.22395392648977008,-0.17007269177461026
5.7,3,tc,-0.9890843878382611,-0.9210024588634838,-0.7441709211630325,-0.4814525316606364,-0.9779874030970745
5.7,4,tr,-0.327297604531239,0.015188977393790992,-0.16404441640801437,-0.8830691448451233,0.4073562198323657
5.7,4,tc,0.8386196063275122,1.3031852148376117,0.926228509300131,0.481783362807505,1.1589995420981936
5.7,5,tr,3.201044146663129,1.8307184066183702,1.7208314425649505,1.9365176507805266,1.642606454823209
5.7,5,tc,2.8040269359271193,1.3706459932054145,1.485994072888218,1.6537074488693122,2.257492221338879
5.7,6,tr,-6.211466958888259,-5.197396912641674,-3.947610065555285,-2.888510528586245,-5.933239196040134
5.7,6,tc,-8.816556838562931,-7.489350916472162,-6.44667515082223,-5.7273656069479415,-8.782187442617499
5.7,7,tr,4.103492455099357,4.634300440505115,3.4212943483049543,1.5899958113743224,6.185325408017526
5.7,7,tc,9.288870301102293,9.468106822517235,7.927634268644866,6.187667289456705,9.791006939726145
5.7,8,tr,2.036605964056573,1.481209531646666,0.35109647464956595,1.9257879286479334,-0.11572567759669994
5.7,8,tc,-0.09918832805863076,-0.9003856357067264,-1.293636990824126,0.6830249040680769,-0.2524137207849577
5.7,9,tr,-5.557543740455742,-6.181229444674031,-3.260607449446397,-4.283532508824784,-5.657076480129518
5.7,9,tc,-9.864362140949641,-10.320916465215959,-7.298911963829688,-8.437927732689502,-10.091742965907116
5.7,10,tr,5.298799550053332,6.353101605319889,3.8758558168148056,4.3028170466390065,6.854611396520625
5.7,10,tc,10.634859885650187,12.102344057723407,8.77002197473113,8.982846857769879,10.604323562846432
5.7,11,tr,-4.116970837050076,-5.026077016875277,-3.5687558490711098,-3.4619809588656523,-5.128571441039867
5.7,11,tc,-4.993939396770827,-5.986860828644069,-4.322994178586839,-4.265930756779426,-4.788601408983027
5.7,12,tr,2.3032770436333294,2.8789887251650725,2.1477896198689734,1.967465929190638,2.447529470632162
5.7,12,tc,0.9216561450868994,1.1519498641208443,0.8166994000567627,0.8018497563904248,0.8475126376991966
5.7,13,tr,-0.5585142853050797,-0.7230661876492661,-0.52543943457826,-0.4874702779211191,-0.5228927418145872
